route_name,stage,timestamp,path
route_curves.yaml,stage2,20260415_230255,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260415_230255_dataset.csv
route_curves.yaml,stage2,20260415_230518,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260415_230518_dataset.csv
route_curves.yaml,stage2,20260415_231659,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260415_231659_dataset.csv
route_curves.yaml,stage2,20260415_231942,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260415_231942_dataset.csv
route_curves.yaml,stage2,20260415_233057,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260415_233057_dataset.csv
route_curves.yaml,stage2,20260415_233352,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260415_233352_dataset.csv
route_curves.yaml,stage2,20260415_234331,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260415_234331_dataset.csv
route_curves.yaml,stage2,20260415_234552,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260415_234552_dataset.csv
route_curves.yaml,stage2,20260416_000356,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260416_000356_dataset.csv
route_curves.yaml,stage2,20260416_000614,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260416_000614_dataset.csv
route_curves.yaml,stage2,20260416_124855,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260416_124855_dataset.csv
route_curves.yaml,stage2,20260416_125145,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260416_125145_dataset.csv
route_curves.yaml,stage2,20260416_130235,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260416_130235_dataset.csv
route_curves.yaml,stage2,20260416_130509,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260416_130509_dataset.csv
route_curves.yaml,stage2,20260416_131946,/home/misael/ros2_workspaces/diplomado_ws/src/vrx_experiment_benchmark/metrics/rl_dataset/raw/route_curves.yaml_20260416_131946_dataset.csv
